RESNT,RESNE,RESSE,RESST,RESMW,INDNT,INDNE,INDSE,INDST,INDMW,COMNT,COMNE,COMSE,COMST,COMMW,OTHNT,OTHNE,OTHSE,OTHST,OTHMW
783331,2219377,5076992,1683387,850866,1208497,1908742.28,7395682.86,2622059.8,746912.79,416102,1170478,3611034,1082493,567827,410896,1297447.5,2567880,1256196,674208
796979,2100992,4937481,1704822,840346,1287561,1994339.97,7423662.38,2613429.9,763185.84,421191,1109719,3507200,1099260,548693,395126,1258624.83,2520644,1247928,684056
822097,2114946,4997655,1638519,854555,1264582,1958852.89,7569354.76,2645533.8,796910.49,420317,1144042,3524375,1095412,565417,425619,1301124.31,2620217,1230332,704073
830479,2194120,5299383,1626257,939832,1266014,1887278.1,7540403,2620122.5,744367.5,422149,1176506,3706102,1101469,592166,400519,1365899.83,2693487,1239875,698631
828560,2219979,5282756,1596120,928149,1285887,1896152.91,7456991.9,2536800.19,761756.13,425284,1202077,3698574,1099866,605408,406799,1363089.11,2709246,1219599,674748
834314,2310009,5407188,1627834,954610,1278865,1885328.51,7434144.46,2598047.96,720873.74,418111,1236229,3902049,1178434,600328,422701,1386682.39,2618097,1285982,654421
826045,2385414,5543528,1690320,911754,1255955,1846958.19,7170265.88,2550281.4,705768.17,390239,1269711,4015309,1256083,594544,424320,1362285.34,2539266,1448185,594563
746531,2274880,5934320,2006171,943733,1267995,1866307.17,6924323.08,2378484.3,718014.73,380583,1191037,4219888,1384355,602590,373096,1373881.12,2607626.18,1538436,636912
678124,2215583,5629521,1948153,898287,1145929,1725746.2,7267815.14,2629958.57,687037.5,358759,1165026,4152985,1386440,620443,369817,1235078.57,2533586,1556194,631904.51
725088,2335888,6041993,2085597,960387,1277627,1938395.02,7183811.96,2741178.26,753130.12,390712,1219738,4276384,1456678,621080,402037,1294996.51,2670502,1561703,608668.29
725326,2281067,5431606,1729936,967545,1215167,1785893.36,7630039.32,2779694.72,732499.86,388390,1208650,4124395,1330808,645209,392166,1285720.24,2691557,1435401,649360.79
791781,2321918,5290835,1599966,934559,1296350,1803006.16,7100244.02,2662653.25,762787.33,420969,1204251,3885942,1139470,597857,425353,1343262.81,2608238,1289107,676136.75
